restaurant_id,restaurant_name,restaurant_type,Rating,num_of_ratings,avg_cost,online_order,table_booking,cuisines_type,area,local_address
2719,David's Kitchen,Quick Bites,3.5,12,200,Yes,No,"North Indian, South Indian, Chinese",Basavanagudi,BTM
2720,Davis Bar And Restaurant,Bar,3,31,700,No,No,"North Indian, Finger Food, Chinese",Kalyan Nagar,Kammanahalli
2721,Dawat,Quick Bites,3.5,57,400,Yes,No,"North Indian, Chinese",Brookefield,Marathahalli
2722,Dawat E Biryani,Quick Bites,2.8,40,200,No,No,Biryani,Koramangala 4th Block,Koramangala 1st Block
2723,Dawat Midnight Express,"Takeaway, Delivery",3.1,29,450,Yes,No,"North Indian, Chinese",Brookefield,Marathahalli
2724,Day N Night Kitchen,Delivery,3.2,35,450,No,No,"Biryani, Chinese, North Indian",Bannerghatta Road,BTM
2725,Dazu Momoz,Kiosk,3.1,8,200,Yes,No,"Tibetan, Momos",Bannerghatta Road,Bannerghatta Road
2726,D'Brooks,Quick Bites,3.4,8,400,Yes,No,"North Indian, Continental",Brookefield,Brookefield
2727,D'Cafe,Cafe,3.8,16,500,No,No,"Cafe, Coffee, Continental",Indiranagar,Domlur
2728,De Grand,Casual Dining,3.3,70,600,Yes,No,"North Indian, Chinese",Kalyan Nagar,Hennur
2729,De Grand Restaurant,Quick Bites,3.8,257,600,Yes,No,"North Indian, Chinese",Kalyan Nagar,Banaswadi
2730,De Oxford Cafe,Cafe,3.7,34,500,No,No,"Cafe, Beverages, Fast Food",Bannerghatta Road,JP Nagar
2731,de Ranthal,Quick Bites,3.8,33,300,No,No,Kerala,HSR,HSR
2732,De Street Cafe,Cafe,3.6,61,500,No,No,Cafe,"Byresandra,Tavarekere,Madiwala",BTM
2733,De Thaali,Casual Dining,3.9,144,550,Yes,No,"North Indian, Chinese",Jayanagar,Jayanagar
2734,De3 - The Eatery,Food Truck,3.1,13,250,No,No,Fast Food,Kalyan Nagar,North Bangalore
2735,Debby's Kitchen,Quick Bites,3.6,16,250,Yes,No,"Modern Indian, American, Chinese",Church Street,Frazer Town
2736,Deccan House,Quick Bites,4,409,350,Yes,No,"Hyderabadi, Biryani",Malleshwaram,New BEL Road
2737,Deccan Kitchen,Casual Dining,3.6,31,700,Yes,No,"South Indian, North Indian",Marathahalli,Marathahalli
2738,Deccan Spice,Casual Dining,3.5,65,750,No,No,"North Indian, South Indian, Biryani",Bannerghatta Road,JP Nagar
2739,Deccan Spices,Quick Bites,3.7,23,500,Yes,No,"Biryani, Mughlai, Fast Food",Brigade Road,Richmond Road
2740,Decker's Lane,Quick Bites,2.1,242,400,Yes,No,Bengali,Brookefield,Marathahalli
2741,Deejas Kitchen,"Takeaway, Delivery",3.9,73,400,Yes,No,"South Indian, Kerala",Bannerghatta Road,Bannerghatta Road
2742,Deepak Fast Food,Quick Bites,3.3,4,350,No,No,Fast Food,Marathahalli,Marathahalli
2743,Deepak Paratha Plaza,Quick Bites,3.5,18,200,No,No,"North Indian, Street Food",New BEL Road,New BEL Road
2744,Deepam Tiffins,Quick Bites,,40,300,No,No,"South Indian, North Indian, Chinese",Koramangala 6th Block,BTM
2745,Degchi Restaurant,Casual Dining,3.7,103,600,No,No,North Indian,Kalyan Nagar,Banaswadi
